task_id;group;row_count;participant_count;task_count;group_count;TTU_total;TTU_average;DOU_total;DOU_average;TTU_count;TTU_participant_totals;DOU_count;DOU_participant_totals
12;Static sketch construction;7;7;1;1;246;35.142857142857146;7.0;1.0;7;"[[""S"", ""p02"", 40.0], [""S"", ""p09"", 33.0], [""S"", ""p11"", 33.0], [""S"", ""p14"", 25.0], [""S"", ""p15"", 19.0], [""S"", ""p28"", 52.0], [""S"", ""p30"", 44.0]]";7;"[[""S"", ""p02"", 1.0], [""S"", ""p09"", 1.0], [""S"", ""p11"", 1.0], [""S"", ""p14"", 1.0], [""S"", ""p15"", 1.0], [""S"", ""p28"", 1.0], [""S"", ""p30"", 1.0]]"
13;Dynamic sketch construction;7;7;1;1;305;43.57142857142857;7.0;1.0;7;"[[""D"", ""p03"", 37.0], [""D"", ""p04"", 44.0], [""D"", ""p05"", 37.0], [""D"", ""p06"", 47.0], [""D"", ""p07"", 54.0], [""D"", ""p20"", 39.0], [""D"", ""p38"", 47.0]]";7;"[[""D"", ""p03"", 1.0], [""D"", ""p04"", 1.0], [""D"", ""p05"", 1.0], [""D"", ""p06"", 1.0], [""D"", ""p07"", 1.0], [""D"", ""p20"", 1.0], [""D"", ""p38"", 1.0]]"
13;Formula construction;7;7;1;1;259;37.0;6.833333333333333;0.9761904761904762;7;"[[""F"", ""p01"", 51.0], [""F"", ""p21"", 38.0], [""F"", ""p26"", 20.0], [""F"", ""p27"", 71.0], [""F"", ""p31"", 34.0], [""F"", ""p33"", 10.0], [""F"", ""p34"", 35.0]]";7;"[[""F"", ""p01"", 1.0], [""F"", ""p21"", 1.0], [""F"", ""p26"", 1.0], [""F"", ""p27"", 0.8333333333333334], [""F"", ""p31"", 1.0], [""F"", ""p33"", 1.0], [""F"", ""p34"", 1.0]]"
13;Static sketch construction;7;7;1;1;389;55.57142857142857;6.833333333333334;0.9761904761904763;7;"[[""S"", ""p02"", 52.0], [""S"", ""p09"", 132.0], [""S"", ""p11"", 46.0], [""S"", ""p14"", 36.0], [""S"", ""p15"", 76.0], [""S"", ""p28"", 22.0], [""S"", ""p30"", 25.0]]";7;"[[""S"", ""p02"", 1.0], [""S"", ""p09"", 1.0], [""S"", ""p11"", 0.8333333333333334], [""S"", ""p14"", 1.0], [""S"", ""p15"", 1.0], [""S"", ""p28"", 1.0], [""S"", ""p30"", 1.0]]"
14;Dynamic sketch construction;7;7;1;1;317;45.285714285714285;7.0;1.0;7;"[[""D"", ""p03"", 38.0], [""D"", ""p04"", 56.0], [""D"", ""p05"", 53.0], [""D"", ""p06"", 47.0], [""D"", ""p07"", 50.0], [""D"", ""p20"", 26.0], [""D"", ""p38"", 47.0]]";7;"[[""D"", ""p03"", 1.0], [""D"", ""p04"", 1.0], [""D"", ""p05"", 1.0], [""D"", ""p06"", 1.0], [""D"", ""p07"", 1.0], [""D"", ""p20"", 1.0], [""D"", ""p38"", 1.0]]"
14;Formula construction;7;7;1;1;770;110.0;5.0;0.7142857142857143;7;"[[""F"", ""p01"", 47.0], [""F"", ""p21"", 111.0], [""F"", ""p26"", 96.0], [""F"", ""p27"", 120.0], [""F"", ""p31"", 290.0], [""F"", ""p33"", 52.0], [""F"", ""p34"", 54.0]]";7;"[[""F"", ""p01"", 0.0], [""F"", ""p21"", 0.6], [""F"", ""p26"", 1.0], [""F"", ""p27"", 1.0], [""F"", ""p31"", 0.4], [""F"", ""p33"", 1.0], [""F"", ""p34"", 1.0]]"
14;Static sketch construction;7;7;1;1;471;67.28571428571429;6.8;0.9714285714285714;7;"[[""S"", ""p02"", 58.0], [""S"", ""p09"", 65.0], [""S"", ""p11"", 18.0], [""S"", ""p14"", 68.0], [""S"", ""p15"", 208.0], [""S"", ""p28"", 16.0], [""S"", ""p30"", 38.0]]";7;"[[""S"", ""p02"", 1.0], [""S"", ""p09"", 1.0], [""S"", ""p11"", 1.0], [""S"", ""p14"", 1.0], [""S"", ""p15"", 0.8], [""S"", ""p28"", 1.0], [""S"", ""p30"", 1.0]]"
15;Dynamic sketch construction;7;7;1;1;684;97.71428571428571;7.0;1.0;7;"[[""D"", ""p03"", 91.0], [""D"", ""p04"", 75.0], [""D"", ""p05"", 98.0], [""D"", ""p06"", 99.0], [""D"", ""p07"", 101.0], [""D"", ""p20"", 126.0], [""D"", ""p38"", 94.0]]";7;"[[""D"", ""p03"", 1.0], [""D"", ""p04"", 1.0], [""D"", ""p05"", 1.0], [""D"", ""p06"", 1.0], [""D"", ""p07"", 1.0], [""D"", ""p20"", 1.0], [""D"", ""p38"", 1.0]]"
15;Formula construction;7;7;1;1;666;95.14285714285714;3.6363636363636367;0.5194805194805195;7;"[[""F"", ""p01"", 50.0], [""F"", ""p21"", 91.0], [""F"", ""p26"", 90.0], [""F"", ""p27"", 96.0], [""F"", ""p31"", 92.0], [""F"", ""p33"", 71.0], [""F"", ""p34"", 176.0]]";7;"[[""F"", ""p01"", 0.0], [""F"", ""p21"", 0.5454545454545454], [""F"", ""p26"", 0.9090909090909092], [""F"", ""p27"", 0.5454545454545454], [""F"", ""p31"", 0.0909090909090909], [""F"", ""p33"", 0.9090909090909092], [""F"", ""p34"", 0.6363636363636364]]"
15;Static sketch construction;7;7;1;1;683;97.57142857142857;6.363636363636363;0.9090909090909091;7;"[[""S"", ""p02"", 226.0], [""S"", ""p09"", 76.0], [""S"", ""p11"", 87.0], [""S"", ""p14"", 74.0], [""S"", ""p15"", 129.0], [""S"", ""p28"", 50.0], [""S"", ""p30"", 41.0]]";7;"[[""S"", ""p02"", 1.0], [""S"", ""p09"", 1.0], [""S"", ""p11"", 1.0], [""S"", ""p14"", 0.5454545454545454], [""S"", ""p15"", 0.8181818181818182], [""S"", ""p28"", 1.0], [""S"", ""p30"", 1.0]]"
