participant;task_id;group;TTU;DOU;structural_aspects;video_length_in_s;timestamp_where_participant_realizes;TTU_second_coder;DOU_second_coder;timestamp_where_participant_realizes_second_coder
p38;2;Dynamic sketch construction;18;1.0;['COMP', 'RANGE', 'VAL', 'BACK', 'ON'];13;74.0;29.0;1.0;85.0
p06;2;Dynamic sketch construction;31;1.0;['COMP', 'RANGE', 'VAL', 'BACK', 'ON'];13;133.0;32.0;1.0;134.0
p01;3;Formula construction;64;1.0;['COMP', 'CELL', 'LIT', 'VAL', 'BACK', 'ON'];14;286.0;60.0;1.0;283.0
p31;3;Formula construction;21;1.0;['COMP', 'CELL', 'LIT', 'VAL', 'BACK', 'ON'];14;183.0;21.0;1.0;183.0
p34;3;Formula construction;12;1.0;['COMP', 'CELL', 'LIT', 'VAL', 'BACK', 'ON'];14;55.0;20.0;1.0;60.0
p33;3;Formula construction;10;1.0;['COMP', 'CELL', 'LIT', 'VAL', 'BACK', 'ON'];14;99.0;11.0;1.0;100.0
p26;3;Formula construction;7;1.0;['COMP', 'CELL', 'LIT', 'VAL', 'BACK', 'ON'];14;175.0;7.0;1.0;175.0
p21;3;Formula construction;84;0.8;['COMP', 'CELL', 'LIT', 'VAL', 'BACK', 'ON'];14;204.0;71.0;1.0;190.0
p27;3;Formula construction;27;1.0;['COMP', 'CELL', 'LIT', 'VAL', 'BACK', 'ON'];14;96.0;26.0;1.0;96.0
p11;3;Static sketch construction;10;1.0;['COMP', 'CELL', 'LIT', 'VAL', 'BACK', 'ON'];14;65.0;9.0;0.8;65.0
p30;3;Static sketch construction;13;1.0;['COMP', 'CELL', 'LIT', 'VAL', 'BACK', 'ON'];14;88.0;12.0;1.0;87.0
p28;3;Static sketch construction;18;1.0;['COMP', 'CELL', 'LIT', 'VAL', 'BACK', 'ON'];14;112.0;10.0;1.0;104.0
p09;3;Static sketch construction;23;1.0;['COMP', 'CELL', 'LIT', 'VAL', 'BACK', 'ON'];14;100.0;13.0;0.8;90.0
p14;3;Static sketch construction;13;1.0;['COMP', 'CELL', 'LIT', 'VAL', 'BACK', 'ON'];14;79.0;6.0;1.0;72.0
p15;3;Static sketch construction;21;1.0;['COMP', 'CELL', 'LIT', 'VAL', 'BACK', 'ON'];14;99.0;12.0;1.0;90.0
p02;3;Static sketch construction;10;1.0;['COMP', 'CELL', 'LIT', 'VAL', 'BACK', 'ON'];14;152.0;9.0;1.0;150.0
p03;3;Dynamic sketch construction;17;1.0;['COMP', 'CELL', 'LIT', 'VAL', 'BACK', 'ON'];14;284.0;23.0;1.0;290.0
p05;3;Dynamic sketch construction;23;1.0;['COMP', 'CELL', 'LIT', 'VAL', 'BACK', 'ON'];14;104.0;21.0;1.0;101.0
p04;3;Dynamic sketch construction;21;1.0;['COMP', 'CELL', 'LIT', 'VAL', 'BACK', 'ON'];14;122.0;20.0;1.0;121.0
p20;3;Dynamic sketch construction;48;1.0;['COMP', 'CELL', 'LIT', 'VAL', 'BACK', 'ON'];14;173.0;48.0;1.0;173.0
p07;3;Dynamic sketch construction;27;1.0;['COMP', 'CELL', 'LIT', 'VAL', 'BACK', 'ON'];14;113.0;28.0;1.0;114.0
p38;3;Dynamic sketch construction;22;1.0;['COMP', 'CELL', 'LIT', 'VAL', 'BACK', 'ON'];14;110.0;23.0;1.0;111.0
p06;3;Dynamic sketch construction;32;1.0;['COMP', 'CELL', 'LIT', 'VAL', 'BACK', 'ON'];14;169.0;33.0;1.0;171.0
p01;4;Formula construction;52;1.0;['COMP', 'CELL', 'VAL', 'FORWARD', 'ON'];12;341.0;53.0;1.0;341.0
p31;4;Formula construction;20;1.0;['COMP', 'CELL', 'VAL', 'FORWARD', 'ON'];12;210.0;4.0;1.0;193.0
p34;4;Formula construction;40;1.0;['COMP', 'CELL', 'VAL', 'FORWARD', 'ON'];12;103.0;45.0;1.0;107.0
p33;4;Formula construction;11;1.0;['COMP', 'CELL', 'VAL', 'FORWARD', 'ON'];12;113.0;8.0;1.0;111.0
p26;4;Formula construction;20;1.0;['COMP', 'CELL', 'VAL', 'FORWARD', 'ON'];12;197.0;19.0;0.8;197.0
p21;4;Formula construction;35;1.0;['COMP', 'CELL', 'VAL', 'FORWARD', 'ON'];12;239.0;34.0;1.0;238.0
p27;4;Formula construction;37;1.0;['COMP', 'CELL', 'VAL', 'FORWARD', 'ON'];12;143.0;37.0;1.0;143.0
p11;4;Static sketch construction;9;1.0;['COMP', 'CELL', 'VAL', 'FORWARD', 'ON'];12;81.0;12.0;1.0;81.0
p30;4;Static sketch construction;15;1.0;['COMP', 'CELL', 'VAL', 'FORWARD', 'ON'];12;104.0;14.0;1.0;103.0
p28;4;Static sketch construction;19;1.0;['COMP', 'CELL', 'VAL', 'FORWARD', 'ON'];12;135.0;9.0;1.0;125.0
p09;4;Static sketch construction;40;1.0;['COMP', 'CELL', 'VAL', 'FORWARD', 'ON'];12;141.0;29.0;1.0;130.0
p14;4;Static sketch construction;23;1.0;['COMP', 'CELL', 'VAL', 'FORWARD', 'ON'];12;105.0;7.0;1.0;90.0
p15;4;Static sketch construction;14;1.0;['COMP', 'CELL', 'VAL', 'FORWARD', 'ON'];12;116.0;5.0;1.0;106.0
p02;4;Static sketch construction;18;1.0;['COMP', 'CELL', 'VAL', 'FORWARD', 'ON'];12;178.0;22.0;1.0;182.0
p03;4;Dynamic sketch construction;20;1.0;['COMP', 'CELL', 'VAL', 'FORWARD', 'ON'];12;325.0;21.0;1.0;326.0
p05;4;Dynamic sketch construction;29;1.0;['COMP', 'CELL', 'VAL', 'FORWARD', 'ON'];12;140.0;29.0;1.0;139.0
p04;4;Dynamic sketch construction;18;1.0;['COMP', 'CELL', 'VAL', 'FORWARD', 'ON'];12;146.0;45.0;1.0;174.0
p20;4;Dynamic sketch construction;29;1.0;['COMP', 'CELL', 'VAL', 'FORWARD', 'ON'];12;212.0;27.0;1.0;210.0
p07;4;Dynamic sketch construction;35;1.0;['COMP', 'CELL', 'VAL', 'FORWARD', 'ON'];12;153.0;35.0;1.0;153.0
