participant;task_id;group;TTU;DOU;structural_aspects;video_length_in_s;timestamp_where_participant_realizes;TTU_second_coder;DOU_second_coder;timestamp_where_participant_realizes_second_coder
p34;10;Formula construction;39;1.0;['COND', 'CELL', 'LIT', 'VAL', 'BACK', 'ON'];20;473.0;41.0;1.0;472.0
p33;10;Formula construction;17;0.875;['COND', 'CELL', 'LIT', 'VAL', 'BACK', 'ON'];20;271.0;23.0;1.0;277.0
p26;10;Formula construction;25;1.0;['COND', 'CELL', 'LIT', 'VAL', 'BACK', 'ON'];20;417.0;29.0;1.0;421.0
p21;10;Formula construction;64;0.875;['COND', 'CELL', 'LIT', 'VAL', 'BACK', 'ON'];20;587.0;62.0;0.9375;586.0
p27;10;Formula construction;32;1.0;['COND', 'CELL', 'LIT', 'VAL', 'BACK', 'ON'];20;414.0;31.0;1.0;413.0
p11;10;Static sketch construction;29;1.0;['COND', 'CELL', 'LIT', 'VAL', 'BACK', 'ON'];20;246.0;30.0;1.0;246.0
p30;10;Static sketch construction;13;1.0;['COND', 'CELL', 'LIT', 'VAL', 'BACK', 'ON'];20;446.0;11.0;1.0;446.0
p28;10;Static sketch construction;30;0.875;['COND', 'CELL', 'LIT', 'VAL', 'BACK', 'ON'];20;413.0;20.0;1.0;403.0
p09;10;Static sketch construction;26;0.875;['COND', 'CELL', 'LIT', 'VAL', 'BACK', 'ON'];20;597.0;22.0;1.0;593.0
p14;10;Static sketch construction;122;0.75;['COND', 'CELL', 'LIT', 'VAL', 'BACK', 'ON'];20;440.0;107.0;0.6875;426.0
p15;10;Static sketch construction;125;0.875;['COND', 'CELL', 'LIT', 'VAL', 'BACK', 'ON'];20;445.0;115.0;0.875;434.0
p02;10;Static sketch construction;88;0.375;['COND', 'CELL', 'LIT', 'VAL', 'BACK', 'ON'];20;567.0;87.0;0.25;566.0
p03;10;Dynamic sketch construction;40;1.0;['COND', 'CELL', 'LIT', 'VAL', 'BACK', 'ON'];20;609.0;40.0;1.0;609.0
p05;10;Dynamic sketch construction;40;0.875;['COND', 'CELL', 'LIT', 'VAL', 'BACK', 'ON'];20;458.0;40.0;1.0;457.0
p04;10;Dynamic sketch construction;40;0.875;['COND', 'CELL', 'LIT', 'VAL', 'BACK', 'ON'];20;454.0;41.0;1.0;455.0
p20;10;Dynamic sketch construction;22;0.875;['COND', 'CELL', 'LIT', 'VAL', 'BACK', 'ON'];20;622.0;31.0;1.0;631.0
p07;10;Dynamic sketch construction;61;1.0;['COND', 'CELL', 'LIT', 'VAL', 'BACK', 'ON'];20;518.0;60.0;1.0;518.0
p38;10;Dynamic sketch construction;43;1.0;['COND', 'CELL', 'LIT', 'VAL', 'BACK', 'ON'];20;482.0;43.0;1.0;482.0
p06;10;Dynamic sketch construction;33;1.0;['COND', 'CELL', 'LIT', 'VAL', 'BACK', 'ON'];20;628.0;33.0;1.0;628.0
p01;11;Formula construction;26;1.0;['COMP', 'CELL', 'VAL', 'BACK', 'OFF'];20;781.0;31.0;1.0;781.0
p31;11;Formula construction;32;1.0;['COMP', 'CELL', 'VAL', 'BACK', 'OFF'];20;862.0;33.0;1.0;863.0
p34;11;Formula construction;28;1.0;['COMP', 'CELL', 'VAL', 'BACK', 'OFF'];20;502.0;22.0;1.0;497.0
p33;11;Formula construction;9;1.0;['COMP', 'CELL', 'VAL', 'BACK', 'OFF'];20;295.0;6.0;1.0;291.0
p26;11;Formula construction;16;1.0;['COMP', 'CELL', 'VAL', 'BACK', 'OFF'];20;441.0;17.0;1.0;441.0
p21;11;Formula construction;25;1.0;['COMP', 'CELL', 'VAL', 'BACK', 'OFF'];20;614.0;23.0;1.0;612.0
p27;11;Formula construction;110;1.0;['COMP', 'CELL', 'VAL', 'BACK', 'OFF'];20;530.0;100.0;1.0;520.0
p11;11;Static sketch construction;26;1.0;['COMP', 'CELL', 'VAL', 'BACK', 'OFF'];20;274.0;27.0;1.0;275.0
p30;11;Static sketch construction;12;1.0;['COMP', 'CELL', 'VAL', 'BACK', 'OFF'];20;462.0;19.0;0.8;468.0
p28;11;Static sketch construction;26;1.0;['COMP', 'CELL', 'VAL', 'BACK', 'OFF'];20;447.0;18.0;1.0;438.0
p09;11;Static sketch construction;29;1.0;['COMP', 'CELL', 'VAL', 'BACK', 'OFF'];20;636.0;20.0;1.0;627.0
p14;11;Static sketch construction;53;1.0;['COMP', 'CELL', 'VAL', 'BACK', 'OFF'];20;493.0;45.0;1.0;485.0
p15;11;Static sketch construction;45;1.0;['COMP', 'CELL', 'VAL', 'BACK', 'OFF'];20;491.0;33.0;1.0;478.0
p02;11;Static sketch construction;38;1.0;['COMP', 'CELL', 'VAL', 'BACK', 'OFF'];20;605.0;28.0;1.0;594.0
p03;11;Dynamic sketch construction;27;1.0;['COMP', 'CELL', 'VAL', 'BACK', 'OFF'];20;640.0;28.0;1.0;641.0
p05;11;Dynamic sketch construction;45;1.0;['COMP', 'CELL', 'VAL', 'BACK', 'OFF'];20;515.0;45.0;1.0;515.0
p04;11;Dynamic sketch construction;32;1.0;['COMP', 'CELL', 'VAL', 'BACK', 'OFF'];20;490.0;33.0;1.0;491.0
p20;11;Dynamic sketch construction;21;1.0;['COMP', 'CELL', 'VAL', 'BACK', 'OFF'];20;681.0;21.0;1.0;681.0
p07;11;Dynamic sketch construction;36;1.0;['COMP', 'CELL', 'VAL', 'BACK', 'OFF'];20;559.0;36.0;1.0;560.0
p38;11;Dynamic sketch construction;34;1.0;['COMP', 'CELL', 'VAL', 'BACK', 'OFF'];20;532.0;33.0;1.0;531.0
p06;11;Dynamic sketch construction;37;1.0;['COMP', 'CELL', 'VAL', 'BACK', 'OFF'];20;669.0;37.0;1.0;669.0
p01;12;Formula construction;46;1.0;['COMP', 'CELL', 'VAL', 'BACK', 'FORWARD', 'CROSS'];18;828.0;55.0;0.8;840.0
p31;12;Formula construction;91;1.0;['COMP', 'CELL', 'VAL', 'BACK', 'FORWARD', 'CROSS'];18;960.0;91.0;1.0;958.0
p34;12;Formula construction;94;1.0;['COMP', 'CELL', 'VAL', 'BACK', 'FORWARD', 'CROSS'];18;597.0;93.0;1.0;596.0
p33;12;Formula construction;18;1.0;['COMP', 'CELL', 'VAL', 'BACK', 'FORWARD', 'CROSS'];18;344.0;10.0;1.0;342.0
p26;12;Formula construction;74;1.0;['COMP', 'CELL', 'VAL', 'BACK', 'FORWARD', 'CROSS'];18;516.0;38.0;1.0;482.0
p21;12;Formula construction;52;1.0;['COMP', 'CELL', 'VAL', 'BACK', 'FORWARD', 'CROSS'];18;671.0;53.0;1.0;670.0
p27;12;Formula construction;50;1.0;['COMP', 'CELL', 'VAL', 'BACK', 'FORWARD', 'CROSS'];18;580.0;49.0;1.0;579.0
p11;12;Static sketch construction;33;1.0;['COMP', 'CELL', 'VAL', 'BACK', 'FORWARD', 'CROSS'];18;313.0;32.0;1.0;310.0
p30;12;Static sketch construction;44;1.0;['COMP', 'CELL', 'VAL', 'BACK', 'FORWARD', 'CROSS'];18;516.0;43.0;1.0;515.0
p28;12;Static sketch construction;52;1.0;['COMP', 'CELL', 'VAL', 'BACK', 'FORWARD', 'CROSS'];18;506.0;40.0;1.0;494.0
p09;12;Static sketch construction;33;1.0;['COMP', 'CELL', 'VAL', 'BACK', 'FORWARD', 'CROSS'];18;671.0;28.0;1.0;666.0
p14;12;Static sketch construction;25;1.0;['COMP', 'CELL', 'VAL', 'BACK', 'FORWARD', 'CROSS'];18;521.0;9.0;1.0;505.0
p15;12;Static sketch construction;19;1.0;['COMP', 'CELL', 'VAL', 'BACK', 'FORWARD', 'CROSS'];18;512.0;7.0;1.0;500.0
p02;12;Static sketch construction;40;1.0;['COMP', 'CELL', 'VAL', 'BACK', 'FORWARD', 'CROSS'];18;647.0;28.0;0.7;635.0
p03;12;Dynamic sketch construction;27;1.0;['COMP', 'CELL', 'VAL', 'BACK', 'FORWARD', 'CROSS'];18;673.0;28.0;1.0;673.0
p05;12;Dynamic sketch construction;60;1.0;['COMP', 'CELL', 'VAL', 'BACK', 'FORWARD', 'CROSS'];18;593.0;59.0;1.0;591.0
p04;12;Dynamic sketch construction;45;1.0;['COMP', 'CELL', 'VAL', 'BACK', 'FORWARD', 'CROSS'];18;540.0;44.0;1.0;539.0
p20;12;Dynamic sketch construction;28;1.0;['COMP', 'CELL', 'VAL', 'BACK', 'FORWARD', 'CROSS'];18;731.0;44.0;1.0;747.0
p07;12;Dynamic sketch construction;55;1.0;['COMP', 'CELL', 'VAL', 'BACK', 'FORWARD', 'CROSS'];18;618.0;46.0;1.0;610.0
p38;12;Dynamic sketch construction;51;1.0;['COMP', 'CELL', 'VAL', 'BACK', 'FORWARD', 'CROSS'];18;586.0;50.0;1.0;586.0
p06;12;Dynamic sketch construction;68;1.0;['COMP', 'CELL', 'VAL', 'BACK', 'FORWARD', 'CROSS'];18;741.0;66.0;1.0;740.0
p01;13;Formula construction;51;1.0;['COMP', 'CELL', 'VAL', 'BACK', 'FORWARD', 'OFF', 'CROSS'];29;893.0;50.0;1.0;892.0
p31;13;Formula construction;34;1.0;['COMP', 'CELL', 'VAL', 'BACK', 'FORWARD', 'OFF', 'CROSS'];29;998.0;32.0;1.0;996.0
p34;13;Formula construction;35;1.0;['COMP', 'CELL', 'VAL', 'BACK', 'FORWARD', 'OFF', 'CROSS'];29;645.0;34.0;1.0;643.0
p33;13;Formula construction;10;1.0;['COMP', 'CELL', 'VAL', 'BACK', 'FORWARD', 'OFF', 'CROSS'];29;360.0;10.0;1.0;360.0
p26;13;Formula construction;20;1.0;['COMP', 'CELL', 'VAL', 'BACK', 'FORWARD', 'OFF', 'CROSS'];29;551.0;65.0;1.0;550.0
p21;13;Formula construction;38;1.0;['COMP', 'CELL', 'VAL', 'BACK', 'FORWARD', 'OFF', 'CROSS'];29;711.0;36.0;1.0;708.0
p27;13;Formula construction;71;0.8333333333333334;['COMP', 'CELL', 'VAL', 'BACK', 'FORWARD', 'OFF', 'CROSS'];29;651.0;68.0;1.0;650.0
p11;13;Static sketch construction;46;0.8333333333333334;['COMP', 'CELL', 'VAL', 'BACK', 'FORWARD', 'OFF', 'CROSS'];29;360.0;38.0;1.0;353.0
p30;13;Static sketch construction;25;1.0;['COMP', 'CELL', 'VAL', 'BACK', 'FORWARD', 'OFF', 'CROSS'];29;546.0;25.0;1.0;545.0
p28;13;Static sketch construction;22;1.0;['COMP', 'CELL', 'VAL', 'BACK', 'FORWARD', 'OFF', 'CROSS'];29;528.0;17.0;1.0;523.0
p09;13;Static sketch construction;132;1.0;['COMP', 'CELL', 'VAL', 'BACK', 'FORWARD', 'OFF', 'CROSS'];29;828.0;145.0;0.8333333333333334;825.0
p14;13;Static sketch construction;36;1.0;['COMP', 'CELL', 'VAL', 'BACK', 'FORWARD', 'OFF', 'CROSS'];29;557.0;25.0;1.0;548.0
p15;13;Static sketch construction;76;1.0;['COMP', 'CELL', 'VAL', 'BACK', 'FORWARD', 'OFF', 'CROSS'];29;590.0;56.0;1.0;570.0
p02;13;Static sketch construction;52;1.0;['COMP', 'CELL', 'VAL', 'BACK', 'FORWARD', 'OFF', 'CROSS'];29;715.0;42.0;1.0;705.0
p03;13;Dynamic sketch construction;37;1.0;['COMP', 'CELL', 'VAL', 'BACK', 'FORWARD', 'OFF', 'CROSS'];29;720.0;37.0;1.0;720.0
p05;13;Dynamic sketch construction;37;1.0;['COMP', 'CELL', 'VAL', 'BACK', 'FORWARD', 'OFF', 'CROSS'];29;637.0;36.0;1.0;635.0
p04;13;Dynamic sketch construction;44;1.0;['COMP', 'CELL', 'VAL', 'BACK', 'FORWARD', 'OFF', 'CROSS'];29;589.0;57.0;1.0;602.0
p20;13;Dynamic sketch construction;39;1.0;['COMP', 'CELL', 'VAL', 'BACK', 'FORWARD', 'OFF', 'CROSS'];29;853.0;43.0;1.0;854.0
p07;13;Dynamic sketch construction;54;1.0;['COMP', 'CELL', 'VAL', 'BACK', 'FORWARD', 'OFF', 'CROSS'];29;674.0;53.0;1.0;674.0
p38;13;Dynamic sketch construction;47;1.0;['COMP', 'CELL', 'VAL', 'BACK', 'FORWARD', 'OFF', 'CROSS'];29;670.0;43.0;1.0;670.0
p06;13;Dynamic sketch construction;47;1.0;['COMP', 'CELL', 'VAL', 'BACK', 'FORWARD', 'OFF', 'CROSS'];29;794.0;46.0;1.0;794.0
p01;14;Formula construction;47;0.0;['LOOK', 'CELL', 'VAL', 'FORWARD', 'CROSS'];22;944.0;49.0;0.2;944.0
p31;14;Formula construction;290;0.4;['LOOK', 'CELL', 'VAL', 'FORWARD', 'CROSS'];22;1293.0;280.0;1.0;1283.0
p34;14;Formula construction;54;1.0;['LOOK', 'CELL', 'VAL', 'FORWARD', 'CROSS'];22;699.0;54.0;0.9;699.0
p33;14;Formula construction;52;1.0;['LOOK', 'CELL', 'VAL', 'FORWARD', 'CROSS'];22;414.0;51.0;1.0;413.0
p26;14;Formula construction;96;1.0;['LOOK', 'CELL', 'VAL', 'FORWARD', 'CROSS'];22;652.0;98.0;0.4;656.0
p21;14;Formula construction;111;0.6;['LOOK', 'CELL', 'VAL', 'FORWARD', 'CROSS'];22;825.0;108.0;0.7;821.0
p27;14;Formula construction;120;1.0;['LOOK', 'CELL', 'VAL', 'FORWARD', 'CROSS'];22;773.0;118.0;1.0;771.0
p11;14;Static sketch construction;18;1.0;['LOOK', 'CELL', 'VAL', 'FORWARD', 'CROSS'];22;379.0;18.0;1.0;379.0
p30;14;Static sketch construction;38;1.0;['LOOK', 'CELL', 'VAL', 'FORWARD', 'CROSS'];22;585.0;35.0;0.8;584.0
p28;14;Static sketch construction;16;1.0;['LOOK', 'CELL', 'VAL', 'FORWARD', 'CROSS'];22;545.0;13.0;1.0;542.0
p09;14;Static sketch construction;65;1.0;['LOOK', 'CELL', 'VAL', 'FORWARD', 'CROSS'];22;898.0;52.0;1.0;885.0
p14;14;Static sketch construction;68;1.0;['LOOK', 'CELL', 'VAL', 'FORWARD', 'CROSS'];22;634.0;60.0;0.8;627.0
p15;14;Static sketch construction;208;0.8;['LOOK', 'CELL', 'VAL', 'FORWARD', 'CROSS'];22;801.0;202.0;0.6;795.0
p02;14;Static sketch construction;58;1.0;['LOOK', 'CELL', 'VAL', 'FORWARD', 'CROSS'];22;786.0;43.0;1.0;771.0
p03;14;Dynamic sketch construction;38;1.0;['LOOK', 'CELL', 'VAL', 'FORWARD', 'CROSS'];22;763.0;37.0;1.0;763.0
p05;14;Dynamic sketch construction;53;1.0;['LOOK', 'CELL', 'VAL', 'FORWARD', 'CROSS'];22;703.0;54.0;1.0;704.0
p04;14;Dynamic sketch construction;56;1.0;['LOOK', 'CELL', 'VAL', 'FORWARD', 'CROSS'];22;665.0;57.0;1.0;666.0
p20;14;Dynamic sketch construction;26;1.0;['LOOK', 'CELL', 'VAL', 'FORWARD', 'CROSS'];22;912.0;25.0;1.0;912.0
p07;14;Dynamic sketch construction;50;1.0;['LOOK', 'CELL', 'VAL', 'FORWARD', 'CROSS'];22;727.0;51.0;1.0;728.0
p38;14;Dynamic sketch construction;47;1.0;['LOOK', 'CELL', 'VAL', 'FORWARD', 'CROSS'];22;728.0;45.0;1.0;727.0
p06;14;Dynamic sketch construction;47;1.0;['LOOK', 'CELL', 'VAL', 'FORWARD', 'CROSS'];22;845.0;46.0;1.0;844.0
p01;15;Formula construction;50;0.0;['COMP', 'COND', 'LOOK', 'CELL', 'LIT', 'FUNC', 'VAL', 'FORWARD', 'CROSS', 'ON'];53;994.0;50.0;0.09090909090909091;994.0
p31;15;Formula construction;92;0.09090909090909091;['COMP', 'COND', 'LOOK', 'CELL', 'LIT', 'FUNC', 'VAL', 'FORWARD', 'CROSS', 'ON'];53;1385.0;92.0;0.18181818181818182;1385.0
p34;15;Formula construction;176;0.6363636363636364;['COMP', 'COND', 'LOOK', 'CELL', 'LIT', 'FUNC', 'VAL', 'FORWARD', 'CROSS', 'ON'];53;887.0;151.0;0.8636363636363636;860.0
p33;15;Formula construction;71;0.9090909090909091;['COMP', 'COND', 'LOOK', 'CELL', 'LIT', 'FUNC', 'VAL', 'FORWARD', 'CROSS', 'ON'];53;487.0;52.0;0.9090909090909091;468.0
p26;15;Formula construction;90;0.9090909090909091;['COMP', 'COND', 'LOOK', 'CELL', 'LIT', 'FUNC', 'VAL', 'FORWARD', 'CROSS', 'ON'];53;747.0;90.0;0.6818181818181818;746.0
p21;15;Formula construction;91;0.5454545454545454;['COMP', 'COND', 'LOOK', 'CELL', 'LIT', 'FUNC', 'VAL', 'FORWARD', 'CROSS', 'ON'];53;917.0;78.0;0.5454545454545454;903.0
p27;15;Formula construction;96;0.5454545454545454;['COMP', 'COND', 'LOOK', 'CELL', 'LIT', 'FUNC', 'VAL', 'FORWARD', 'CROSS', 'ON'];53;870.0;93.0;0.9090909090909091;868.0
p11;15;Static sketch construction;87;1.0;['COMP', 'COND', 'LOOK', 'CELL', 'LIT', 'FUNC', 'VAL', 'FORWARD', 'CROSS', 'ON'];53;467.0;83.0;0.6818181818181818;465.0
p30;15;Static sketch construction;41;1.0;['COMP', 'COND', 'LOOK', 'CELL', 'LIT', 'FUNC', 'VAL', 'FORWARD', 'CROSS', 'ON'];53;629.0;42.0;0.7272727272727273;629.0
p28;15;Static sketch construction;50;1.0;['COMP', 'COND', 'LOOK', 'CELL', 'LIT', 'FUNC', 'VAL', 'FORWARD', 'CROSS', 'ON'];53;615.0;22.0;0.8636363636363636;588.0
p09;15;Static sketch construction;76;1.0;['COMP', 'COND', 'LOOK', 'CELL', 'LIT', 'FUNC', 'VAL', 'FORWARD', 'CROSS', 'ON'];53;980.0;55.0;0.9090909090909091;965.0
p14;15;Static sketch construction;74;0.5454545454545454;['COMP', 'COND', 'LOOK', 'CELL', 'LIT', 'FUNC', 'VAL', 'FORWARD', 'CROSS', 'ON'];53;710.0;62.0;0.7272727272727273;698.0
p15;15;Static sketch construction;129;0.8181818181818182;['COMP', 'COND', 'LOOK', 'CELL', 'LIT', 'FUNC', 'VAL', 'FORWARD', 'CROSS', 'ON'];53;930.0;79.0;0.6818181818181818;880.0
p02;15;Static sketch construction;226;1.0;['COMP', 'COND', 'LOOK', 'CELL', 'LIT', 'FUNC', 'VAL', 'FORWARD', 'CROSS', 'ON'];53;1014.0;212.0;0.8181818181818182;999.0
p03;15;Dynamic sketch construction;91;1.0;['COMP', 'COND', 'LOOK', 'CELL', 'LIT', 'FUNC', 'VAL', 'FORWARD', 'CROSS', 'ON'];53;860.0;91.0;1.0;861.0
p05;15;Dynamic sketch construction;98;1.0;['COMP', 'COND', 'LOOK', 'CELL', 'LIT', 'FUNC', 'VAL', 'FORWARD', 'CROSS', 'ON'];53;810.0;99.0;1.0;811.0
p04;15;Dynamic sketch construction;75;1.0;['COMP', 'COND', 'LOOK', 'CELL', 'LIT', 'FUNC', 'VAL', 'FORWARD', 'CROSS', 'ON'];53;745.0;75.0;1.0;745.0
p20;15;Dynamic sketch construction;126;1.0;['COMP', 'COND', 'LOOK', 'CELL', 'LIT', 'FUNC', 'VAL', 'FORWARD', 'CROSS', 'ON'];53;1059.0;150.0;1.0;1083.0
p07;15;Dynamic sketch construction;101;1.0;['COMP', 'COND', 'LOOK', 'CELL', 'LIT', 'FUNC', 'VAL', 'FORWARD', 'CROSS', 'ON'];53;833.0;105.0;1.0;837.0
p38;15;Dynamic sketch construction;94;1.0;['COMP', 'COND', 'LOOK', 'CELL', 'LIT', 'FUNC', 'VAL', 'FORWARD', 'CROSS', 'ON'];53;825.0;91.0;1.0;823.0
p06;15;Dynamic sketch construction;99;1.0;['COMP', 'COND', 'LOOK', 'CELL', 'LIT', 'FUNC', 'VAL', 'FORWARD', 'CROSS', 'ON'];53;949.0;99.0;1.0;949.0
p01;16;Formula construction;86;0.875;['COND', 'RANGE', 'LIT', 'LIST', 'BACK', 'ON'];32;1080.0;90.0;0.625;1084.0
p31;16;Formula construction;69;0.875;['COND', 'RANGE', 'LIT', 'LIST', 'BACK', 'ON'];32;1454.0;100.0;0.9375;1485.0
p34;16;Formula construction;46;0.875;['COND', 'RANGE', 'LIT', 'LIST', 'BACK', 'ON'];32;933.0;45.0;0.8125;932.0
p33;16;Formula construction;45;0.75;['COND', 'RANGE', 'LIT', 'LIST', 'BACK', 'ON'];32;533.0;51.0;0.8125;538.0
p26;16;Formula construction;29;0.75;['COND', 'RANGE', 'LIT', 'LIST', 'BACK', 'ON'];32;783.0;48.0;0.8125;802.0
p21;16;Formula construction;43;0.75;['COND', 'RANGE', 'LIT', 'LIST', 'BACK', 'ON'];32;960.0;37.0;0.625;954.0
p27;16;Formula construction;71;1.0;['COND', 'RANGE', 'LIT', 'LIST', 'BACK', 'ON'];32;942.0;65.0;0.875;937.0
p11;16;Static sketch construction;22;0.625;['COND', 'RANGE', 'LIT', 'LIST', 'BACK', 'ON'];32;490.0;21.0;0.5;489.0
p30;16;Static sketch construction;17;0.875;['COND', 'RANGE', 'LIT', 'LIST', 'BACK', 'ON'];32;655.0;33.0;0.6875;671.0
p28;16;Static sketch construction;32;0.875;['COND', 'RANGE', 'LIT', 'LIST', 'BACK', 'ON'];32;648.0;24.0;0.8125;640.0
p09;16;Static sketch construction;18;0.75;['COND', 'RANGE', 'LIT', 'LIST', 'BACK', 'ON'];32;1044.0;11.0;0.5;1036.0
p14;16;Static sketch construction;78;0.625;['COND', 'RANGE', 'LIT', 'LIST', 'BACK', 'ON'];32;788.0;52.0;0.625;760.0
p15;16;Static sketch construction;40;0.75;['COND', 'RANGE', 'LIT', 'LIST', 'BACK', 'ON'];32;970.0;18.0;0.625;945.0
p02;16;Static sketch construction;58;0.875;['COND', 'RANGE', 'LIT', 'LIST', 'BACK', 'ON'];32;1077.0;56.0;0.625;1075.0
p03;16;Dynamic sketch construction;42;0.875;['COND', 'RANGE', 'LIT', 'LIST', 'BACK', 'ON'];32;908.0;43.0;1.0;909.0
p05;16;Dynamic sketch construction;50;0.875;['COND', 'RANGE', 'LIT', 'LIST', 'BACK', 'ON'];32;870.0;51.0;0.75;872.0
p04;16;Dynamic sketch construction;65;0.875;['COND', 'RANGE', 'LIT', 'LIST', 'BACK', 'ON'];32;813.0;64.0;1.125;813.0
p20;16;Dynamic sketch construction;76;0.875;['COND', 'RANGE', 'LIT', 'LIST', 'BACK', 'ON'];32;1161.0;75.0;0.875;1160.0
p07;16;Dynamic sketch construction;123;0.875;['COND', 'RANGE', 'LIT', 'LIST', 'BACK', 'ON'];32;966.0;62.0;0.875;905.0
p38;16;Dynamic sketch construction;41;0.875;['COND', 'RANGE', 'LIT', 'LIST', 'BACK', 'ON'];32;873.0;41.0;1.0;873.0
p06;16;Dynamic sketch construction;134;0.875;['COND', 'RANGE', 'LIT', 'LIST', 'BACK', 'ON'];32;1086.0;140.0;0.875;1093.0
p01;17;Formula construction;100;1.0;['COND', 'LOOK', 'RANGE', 'LIST', 'FORWARD', 'CROSS'];22;1181.0;91.0;0.8571428571428571;1175.0
p31;17;Formula construction;245;0.8571428571428571;['COND', 'LOOK', 'RANGE', 'LIST', 'FORWARD', 'CROSS'];22;1729.0;265.0;0.7857142857142857;1750.0
p34;17;Formula construction;34;1.0;['COND', 'LOOK', 'RANGE', 'LIST', 'FORWARD', 'CROSS'];22;972.0;33.0;1.0;969.0
p33;17;Formula construction;46;0.8571428571428571;['COND', 'LOOK', 'RANGE', 'LIST', 'FORWARD', 'CROSS'];22;589.0;45.0;0.8571428571428571;588.0
p26;17;Formula construction;24;1.0;['COND', 'LOOK', 'RANGE', 'LIST', 'FORWARD', 'CROSS'];22;839.0;25.0;0.8571428571428571;840.0
p21;17;Formula construction;69;0.42857142857142855;['COND', 'LOOK', 'RANGE', 'LIST', 'FORWARD', 'CROSS'];22;1029.0;66.0;0.6428571428571429;1025.0
p27;17;Formula construction;28;1.0;['COND', 'LOOK', 'RANGE', 'LIST', 'FORWARD', 'CROSS'];22;973.0;33.0;1.0;977.0
p11;17;Static sketch construction;39;1.0;['COND', 'LOOK', 'RANGE', 'LIST', 'FORWARD', 'CROSS'];22;538.0;39.0;0.8571428571428571;537.0
p30;17;Static sketch construction;13;1.0;['COND', 'LOOK', 'RANGE', 'LIST', 'FORWARD', 'CROSS'];22;685.0;13.0;0.8571428571428571;686.0
p28;17;Static sketch construction;28;0.7142857142857143;['COND', 'LOOK', 'RANGE', 'LIST', 'FORWARD', 'CROSS'];22;682.0;8.0;0.6428571428571429;663.0
p09;17;Static sketch construction;92;1.0;['COND', 'LOOK', 'RANGE', 'LIST', 'FORWARD', 'CROSS'];22;1156.0;80.0;0.5714285714285714;1145.0
p14;17;Static sketch construction;162;0.5714285714285714;['COND', 'LOOK', 'RANGE', 'LIST', 'FORWARD', 'CROSS'];22;950.0;125.0;0.6428571428571429;912.0
p15;17;Static sketch construction;94;0.8571428571428571;['COND', 'LOOK', 'RANGE', 'LIST', 'FORWARD', 'CROSS'];22;1068.0;67.0;0.42857142857142855;1042.0
p02;17;Static sketch construction;22;1.0;['COND', 'LOOK', 'RANGE', 'LIST', 'FORWARD', 'CROSS'];22;1106.0;6.0;0.8571428571428571;1090.0
p03;17;Dynamic sketch construction;63;1.0;['COND', 'LOOK', 'RANGE', 'LIST', 'FORWARD', 'CROSS'];22;978.0;63.0;1.0;978.0
p05;17;Dynamic sketch construction;63;1.0;['COND', 'LOOK', 'RANGE', 'LIST', 'FORWARD', 'CROSS'];22;955.0;59.0;1.0;952.0
p04;17;Dynamic sketch construction;41;1.0;['COND', 'LOOK', 'RANGE', 'LIST', 'FORWARD', 'CROSS'];22;857.0;39.0;1.0;856.0
p20;17;Dynamic sketch construction;37;1.0;['COND', 'LOOK', 'RANGE', 'LIST', 'FORWARD', 'CROSS'];22;1201.0;39.0;0.8571428571428571;1202.0
p07;17;Dynamic sketch construction;70;0.0;['COND', 'LOOK', 'RANGE', 'LIST', 'FORWARD', 'CROSS'];22;1041.0;72.0;1.0;1043.0
p38;17;Dynamic sketch construction;95;0.8571428571428571;['COND', 'LOOK', 'RANGE', 'LIST', 'FORWARD', 'CROSS'];22;973.0;95.0;0.8571428571428571;974.0
p06;17;Dynamic sketch construction;48;1.0;['COND', 'LOOK', 'RANGE', 'LIST', 'FORWARD', 'CROSS'];22;1147.0;56.0;0.8571428571428571;1154.0
