stratum,outcome,group,n,median,q1,q3,mean,sd,CLD
Task 9,TTU,Formula construction,7,61.0,42.5,62.5,55.0,17.540429489230497,a
Task 9,TTU,Static sketch construction,7,43.0,30.5,57.5,51.57142857142857,34.282440319873885,a
Task 9,DOU,Dynamic sketch construction,7,1.0,0.9285714285714286,1.0,0.9183673469387755,0.16198477414681167,a
Task 9,DOU,Formula construction,7,1.0,0.2857142857142857,1.0,0.6938775510204082,0.3818017741606063,a
Task 9,DOU,Static sketch construction,7,1.0,0.8571428571428572,1.0,0.8979591836734694,0.17908090586514533,a
Task 10,TTU,Dynamic sketch construction,7,40.0,36.5,41.5,39.857142857142854,11.710800875382398,a
Task 10,TTU,Formula construction,7,39.0,28.5,70.0,59.714285714285715,50.982723497652565,a
Task 10,TTU,Static sketch construction,7,30.0,27.5,105.0,61.857142857142854,48.39913419139014,a
Task 10,DOU,Dynamic sketch construction,7,1.0,0.875,1.0,0.9464285714285714,0.0668153104781061,a
Task 10,DOU,Formula construction,7,0.875,0.75,1.0,0.8392857142857143,0.20044593143431833,a
Task 10,DOU,Static sketch construction,7,0.875,0.8125,0.9375,0.8214285714285714,0.21478117324605614,a
Task 11,TTU,Dynamic sketch construction,7,34.0,29.5,36.5,33.142857142857146,7.646972634722219,a
Task 11,TTU,Formula construction,7,26.0,20.5,30.0,35.142857142857146,33.91375616387629,a
Task 11,TTU,Static sketch construction,7,29.0,26.0,41.5,32.714285714285715,13.683497185957078,a
Task 11,DOU,Dynamic sketch construction,7,1.0,1.0,1.0,1.0,0.0,a
Task 11,DOU,Formula construction,7,1.0,1.0,1.0,1.0,0.0,b
Task 11,DOU,Static sketch construction,7,1.0,1.0,1.0,1.0,0.0,c
Task 12,TTU,Dynamic sketch construction,7,51.0,36.5,57.5,47.714285714285715,15.553287816560262,a
Task 12,TTU,Formula construction,7,52.0,48.0,82.5,60.714285714285715,27.182802686712822,a
Task 12,TTU,Static sketch construction,7,33.0,29.0,42.0,35.142857142857146,11.246163366952771,a
Task 12,DOU,Dynamic sketch construction,7,1.0,1.0,1.0,1.0,0.0,a
Task 12,DOU,Formula construction,7,1.0,1.0,1.0,1.0,0.0,b
Task 12,DOU,Static sketch construction,7,1.0,1.0,1.0,1.0,0.0,c
Task 13,TTU,Dynamic sketch construction,7,44.0,38.0,47.0,43.57142857142857,6.320789582985733,a
Task 13,TTU,Formula construction,7,35.0,27.0,44.5,37.0,19.9332218503014,a
Task 13,TTU,Static sketch construction,7,46.0,30.5,64.0,55.57142857142857,38.31386669278345,a
Task 13,DOU,Dynamic sketch construction,7,1.0,1.0,1.0,1.0,0.0,a
Task 13,DOU,Formula construction,7,1.0,1.0,1.0,0.9761904761904763,0.0629940788348712,a
Task 13,DOU,Static sketch construction,7,1.0,1.0,1.0,0.9761904761904763,0.06299407883487122,a
Task 14,TTU,Dynamic sketch construction,7,47.0,42.5,51.5,45.285714285714285,10.22601723895616,a
Task 14,TTU,Formula construction,7,96.0,53.0,115.5,110.0,84.81941601622434,a
Task 14,TTU,Static sketch construction,7,58.0,28.0,66.5,67.28571428571429,65.58636617904233,a
Task 14,DOU,Dynamic sketch construction,7,1.0,1.0,1.0,1.0,0.0,a
Task 14,DOU,Formula construction,7,1.0,0.5,1.0,0.7142857142857143,0.397611918955202,a
Task 14,DOU,Static sketch construction,7,1.0,1.0,1.0,0.9714285714285714,0.07559289460184543,a
Task 15,TTU,Dynamic sketch construction,7,98.0,92.5,100.0,97.71428571428571,15.20651489454751,a
Task 15,TTU,Formula construction,7,91.0,80.5,94.0,95.14285714285714,39.185152678995536,a
Task 15,TTU,Static sketch construction,7,76.0,62.0,108.0,97.57142857142857,63.347868006369254,a
Task 15,DOU,Dynamic sketch construction,7,1.0,1.0,1.0,1.0,0.0,a
Task 15,DOU,Formula construction,7,0.5454545454545454,0.3181818181818181,0.7727272727272727,0.5194805194805195,0.3587331770631983,b
Task 15,DOU,Static sketch construction,7,1.0,0.9090909090909092,1.0,0.9090909090909091,0.17407765595569788,a
Task 16,TTU,Dynamic sketch construction,7,65.0,46.0,99.5,75.85714285714286,38.1900011845534,a
Task 16,TTU,Formula construction,7,46.0,44.0,78.5,364.14285714285717,822.5477551630723,a
Task 16,TTU,Static sketch construction,7,32.0,20.0,49.0,37.857142857142854,22.865028401677613,a
Task 16,DOU,Dynamic sketch construction,7,0.875,0.875,0.875,0.875,0.0,a
Task 16,DOU,Formula construction,7,0.875,0.75,0.875,0.8392857142857143,0.09449111825230681,a
Task 16,DOU,Static sketch construction,7,0.75,0.6875,0.875,0.7678571428571429,0.11246692635530466,a
Task 17,TTU,Dynamic sketch construction,7,63.0,44.5,66.5,59.57142857142857,19.898552232571618,a
Task 17,TTU,Formula construction,7,46.0,31.0,84.5,78.0,78.347516446492,a
Task 17,TTU,Static sketch construction,7,39.0,25.0,93.0,64.28571428571429,54.1193566287032,a
Task 17,DOU,Dynamic sketch construction,7,1.0,0.9285714285714286,1.0,0.836734693877551,0.37278663289306824,a
Task 17,DOU,Formula construction,7,1.0,0.8571428571428571,1.0,0.8775510204081632,0.20912144420325718,a
Task 17,DOU,Static sketch construction,7,1.0,0.7857142857142857,1.0,0.8775510204081632,0.17356939894113024,a
Aspect COMP,TTU,Dynamic sketch construction,7,35.0,28.0,37.5,34.142857142857146,7.448234050846581,a
Aspect COMP,TTU,Formula construction,7,37.0,29.0,42.5,34.857142857142854,12.928374110570019,a
Aspect COMP,TTU,Static sketch construction,7,26.0,23.5,34.5,28.0,8.888194417315589,a
